"Barcode";"Name";"Volume";"Count"
"7802175000303";"MISTRAL ICE 6PCX4-LAT310";"310";"7"
"7790895003875";"BONAQUA PET 1500 S/G X6";"1500";"1"
"815369012294";"Cadia Coconut Water";"520";"1"
"7801610231517";"Inca Kola Mango Pet 1.5 L x 6";"1500";"20"
"7790895009815";"CEPITA HF NARANJA TENTACIÓN 1LT X 6";"1000";"1"
"856820160123";"Steaz lightly sweetened Uced Green tea witn coconut water";"473";"1"
"7798062547801";"Villavicencio Agua";"500";"1"
"87250237";"Horses 3 Malt";"330";"8"
"7790895000232";"Coca-Cola 354ML LAT ALUM N 6X1";"354";"2"
"7790895064173";"Sprite Zero 1.5L Bt Pet C N 1x6 - 28*5";"1500";"1"
"7801620002725";"GATORADE MANZANA 6PF-PET 500";"500";"1"
"7790895640490";"Aquarius Monresa Pomelo 1.5L PET 1X6";"1500";"1"
"7801620002756";"GATORADE LIMA LIMON 6PF-PET500";"500";"1"
"8002270246531";"Sanpellegrino Pomelo";"330";"1"
"9005465104097";"ENERGIZANTE DARK DOG ORIGINAL";"355";"1"
"7790895003943";"BONAQUA PET 500 C/G X6";"500";"1"
"7804604722688";"Liv";"1500";"6"
"7801610409589";"Aquarius Manzana Pet 1,5 Lts. x 6 Prod.";"1500";"1"
"7801610884423";"Aquarius Limón Pet 1,5 Lts. x 6";"1500";"1"
"7804646610035";"Andes Water s/gas";"1000";"5"
"7802408004177";"Fruna Papaya zero Azucar";"500";"4"
"7801620002374";"MAS CACHANTUN 6PF-PET 1500";"1500";"5"
"4101120014802";"Paderborner Pilsener";"330";"18"
"7802100001696";"CRISTAL LIGHT 12PX2 LAT-350CC (3X4)";"350";"1"
"4015042107811";"Darguner Beissbier";"500";"5"
"884394006424";"OKF Aloe Drink Mango";"500";"1"
"7804167001787";"Lider Limon";"1500";"5"
"7803908004452";"Guallarauco Limon";"500";"117"
"7801620007669";"7 up limonada";"500";"13"
"7801620007225";"7UP light";"1750";"37"
"7801620007379";"Mas Woman Frutos del Bosque";"1600";"249"
"7803908003899";"Guallarauco Naranja Mango";"1750";"1"
"9005465105032";"Dark Dog Guarana";"568";"60"
"400005902949";"Aloe";"1000";"20"
"5906213009715";"Ultimate";"250";"55"
"5901594000917";"Tuborg";"330";"129"
"8411327001717";"Mahou Sin alcohol";"330";"194"
"7802800545278";"Zuko Multifruta";"1500";"2"
"7501013100310";"Jumex Nectar Naranja y Zanahoria";"500";"4"
"7801610271537";"Nordic Zero G. Ale PT 500cc*6";"500";"4"
"7801610002605";"Fanta Pet 500 cc. x 6 ( Fabricado)";"500";"1"
"7790895001215";"Glaceau Vitamin water";"500";"40"
"7894900011609";"COCA-COLA PET 600ML 01UN";"600";"1"
"5701598029996";"X Ray Energy Drink";"250";"34"
"7802107000128";"KUNSTM-S/ALC LAT350X24";"350";"9"
"7802800545261";"Zuko Mango";"1500";"3"
"7501055320080";"BURN ENERGY DRINK 310CC LATA";"310";"2"
"7801610005606";"Sprite Pet 500 cc x 6  ( Fabricado)";"500";"1"
"7801602219066";"Socos Agua Mineral Manzana con Gas";"1500";"3"
"9005465133080";"Dark Dog";"1500";"17"
"7801610220016";"Coca Cola Sabor Original";"220";"1096"
"7790895067532";"Coca Cola Zero Pet 500x12 -  24*7";"500";"1"
"7899916905997";"Jugo de naranja Lider";"1500";"7"
"7801610220108";"Cocacola sin azucar";"220";"2154"
"89826001415";"Tecate Original";"473";"68"
"5900535000160";"Cerveza";"500";"87"
"7804167001862";"Lider Pera";"1600";"22"
"7804167001886";"Agua Lider";"500";"45"
"8714800007665";"Hollandia";"350";"94"
"8690582722203";"Carlsberg";"350";"358"
"7802800545223";"Zuko Pina";"1500";"4"
"884394000132";"Aloe Vera King pina";"1500";"8"
"7801620007461";"BILZ ZERO 6PF-PET 1750-TR";"1750";"47"
"34100005542";"CERVEZA MILLER";"355";"463"
"4014086020537";"Oettinger";"350";"45"
"7804604722572";"LIV Agua Mineral";"500";"12"
"7801620007485";"KEM ZERO 6PF-PET 1750-TR";"1750";"50"
"7802800545292";"Zuko Naranja Platano";"1500";"3"
"7501013100235";"Jumex Nectar Naranja y Mango";"500";"5"
"7801610002230";"fanta ref pet 1,5 lts *12";"1500";"2"
"7802820671988";"Power Ade Zero";"600";"127"
"7802800545285";"Zuko Frutifrutilla";"1500";"1"
"7801926002993";"SANGRIA TRUJILLO CON GAS";"1500";"3"
"7801610005231";"sprite ref pet 1,5 lts *12";"1500";"3"
"7801620006495";"7UP PET 1750 X 6-TR";"1750";"26"
"400005902956";"Amane Aloe Vera Zero";"1000";"27"
"7801620007478";"PAP ZERO 6PF-PET 1750-TR";"1750";"77"
"7801620004750";"PEPSI LIGHT 6PF-PET 1750";"1750";"29"
"7807910022718";"Santa Isabel Agua con Gas";"1500";"71"
"7801620007416";"KEM 6PF-PET 1750-TR";"1750";"66"
"7804658110004";"Agua Mineral Natural de los Andes";"1500";"11"
"7804300132835";"MANQUEHUITO PINA 6PX4-LAT350CC";"350";"45"
"7801620007454";"CRUSH ZERO 6PF-PET 1750-TR";"1750";"72"
"90424496";"Yellow Energy Drink";"250";"97"
"7801620007508";"GINGER ALE 6PF-PET 1750-TR";"1750";"73"
"5708887000117";"Slots Pilsner";"330";"14"
"7804625210010";"Agua Mineral Jahuel Sin Gas";"330";"6"
"7801620007423";"CRUSH 6PF-PET 1750-TR";"1750";"92"
"7801610022603";"Coca Cola light";"500";"3"
"7793147118853";"(*)SCHNEIDER LT 355X24LP";"355";"1"
"7804167001824";"Nativa con gas";"1500";"377"
"7804604727584";"NECTAR CYRO NARANJA";"1500";"2"
"7790895006029";"Powerade Mountain Blast HF Pet 995cc x6";"995";"2"
"7801620003890";"Canada Dry Ginger Ale";"250";"30"
"7802900600013";"Soprole Next Agua Sin Gas";"1500";"2"
"9002490235468";"RedBull Sugar Free";"355";"96"
